ID,pregunta,respuesta,intencion,entidades,referencias
152,Qué es el ramucirumab,"Medicamento que se une a la proteína del factor de crecimiento endotelial vascular (VEGF) para impedir que se formen vasos sanguíneos nuevos y se usa para tratar tipos diferentes de cáncer. También se utiliza solo o con otros medicamentos para tratar ciertos tipos de cáncer de pulmón de células no pequeñas, carcinoma hepatocelular (tipo de cáncer de hígado), cáncer colorrectal, cáncer de estómago y cáncer de unión gastroesofágica. Además, está en estudio para el tratamiento de otros tipos de cáncer. Es posible que el ramucirumab impida la formación de vasos sanguíneos nuevos que los tumores necesitan para crecer. Es un tipo de antiangiogénico y de anticuerpo monoclonal. También se llama anticuerpo monoclonal totalmente humano anti-VEGFR-2 IMC-1121B, Cyramza e IMC-1121B.",tratamiento del cáncer de pulmón,ramucirumab,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
153,Qué es el selpercatinib,"Medicamento que se usa para el tratamiento de ciertos tipos de cáncer de pulmón de células no pequeñas en adultos, y ciertos tipos de cáncer de tiroides u otros tumores sólidos en adultos y en niños de 2 años o más. Se usa en pacientes cuyo cáncer presenta un gen RET anormal. También está en estudio para el tratamiento de otros tipos de cáncer. El selpercatinib bloquea ciertas proteínas, incluso las que se originan del gen de fusión RET o del gen RET mutado. Bloquear estas proteínas quizás ayude a evitar la multiplicación de células cancerosas. El selpercatinib es un tipo de inhibidor de tirosina–cinasas. También se llama Retevmo.",tratamiento del cáncer de pulmón,selpercatinib,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
154,Qué es el sotorasib,"Medicamento que se usa solo para el tratamiento de adultos con cáncer de pulmón de células no pequeñas que se diseminó o que no se puede extirpar mediante cirugía, y en combinación con panitumumab para el tratamiento del cáncer colorrectal que se diseminó. Se usa en pacientes con cierta mutación (cambio) en el gen KRAS, cuyo cáncer se trató con otros medicamentos anticancerígenos. También está en estudio para el tratamiento de otros tipos de cáncer. El sotorasib bloquea una proteína (KRAS p.G12C) que se origina del gen KRAS mutado, lo que quizás ayude a evitar la multiplicación de células cancerosas y las destruya. Es un tipo de medicamento de terapia dirigida. También se llama Lumakras.",tratamiento del cáncer de pulmón,sotorasib,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
155,Qué es el tepotinib,"Medicamento que se usa para el tratamiento de adultos con cáncer de pulmón de células no pequeñas que se diseminó a otras partes del cuerpo y que tiene cierta mutación (cambio) en el gen MET. También está en estudio para el tratamiento de otros tipos de cáncer. El clorhidrato de tepotinib bloquea una proteína que se origina del gen MET, lo que quizás ayude a evitar que las células cancerosas se multipliquen y diseminen, y es posible que las destruya. Es un tipo de inhibidor de tirosina–cinasas. También se llama Tepmetko.",tratamiento del cáncer de pulmón,tepotinib,https://www.cancer.gov/publications/dictionaries/cancer-drug
156,Qué es el trametinib,"Medicamento que se usa solo o con dabrafenib para el tratamiento del glioma de grado bajo (tipo de tumor de encéfalo) en niños de 1 año o más, y de ciertos tipos de cáncer de tiroides anaplásico, cáncer de pulmón de células no pequeñas, melanoma y otros tumores sólidos que tienen determinada mutación (cambio) en el gen BRAF. También está en estudio para el tratamiento de otros tipos de cáncer. El dimetil sulfóxido de trametinib bloquea ciertas proteínas llamadas MEK1 y MEK2, lo que tal vez ayude a evitar la multiplicación de células cancerosas. Es un tipo de inhibidor de cinasas. También se llama Mekinist y sulfóxido de dimetilo de trametinib.",tratamiento del cáncer de pulmón,trametinib,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
157,Qué es el atezolizumab,"Medicamento que se une a la proteína PD-L1 para ayudar a las células inmunitarias a destruir más células cancerosas, y que se usa para el tratamiento de diferentes tipos de cáncer. Entre ellos, los cánceres que expresan PD-L1. El atezolizumab se utiliza solo o con otros medicamentos para el tratamiento de adultos con ciertos tipos de carcinoma hepatocelular (tipo de cáncer de hígado), melanoma, cáncer de pulmón de células no pequeñas o cáncer de pulmón de células pequeñas. También se usa solo para el tratamiento de adultos y niños de 2 años o más con sarcoma alveolar de partes blandas que se diseminó a otras partes del cuerpo o que no es posible extirpar mediante cirugía. Asimismo, está en estudio para el tratamiento de otros tipos de cáncer. Es posible que el atezolizumab bloquee PD-L1 y ayude al sistema inmunitario a destruir células cancerosas. Es un tipo de anticuerpo monoclonal y de inhibidor de puntos de control inmunitario. También se llama Tecentriq.",tratamiento del cáncer de pulmón,atezolizumab,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
158,Qué es el cemiplimab,"Medicamento que se une a la proteína PD-1 para ayudar al sistema inmunitario a destruir más células cancerosas, y que se usa para el tratamiento de diferentes tipos de cáncer. El cemiplimab se usa para tratar ciertos tipos de carcinomas cutáneos de células basales y de células escamosas (tipos de cáncer de piel) localmente avanzados o que se diseminaron a otras partes del cuerpo. También se usa solo o con otros medicamentos para el tratamiento de adultos con cáncer de pulmón de células no pequeñas localmente avanzado o que se diseminó a otras partes del cuerpo y que tiene la proteína PD-1, pero que no tiene una mutación (cambio) en los genes EGFR, ALK o ROS1. Asimismo, está en estudio para el tratamiento de otros tipos de cáncer. Es posible que el cemiplimab bloquee PD-1 y ayude al sistema inmunitario a destruir células cancerosas. Es un tipo de anticuerpo monoclonal y de inhibidor de puntos de control inmunitario. También se llama Libtayo.",tratamiento del cáncer de pulmón,cemiplimab,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
159,Qué es el durvalumab,"Medicamento que se une a la proteína PD-L1 para ayudar a las células inmunitarias a destruir más células cancerosas, y que se usa para el tratamiento de diferentes tipos de cáncer. El durvalumab se utiliza solo o con otros medicamentos para el tratamiento de adultos con ciertos tipos de cáncer biliar (incluso, cáncer de vías biliares y de vesícula biliar), cáncer de endometrio, carcinoma hepatocelular (tipo de cáncer de hígado), cáncer de pulmón de células no pequeñas y cáncer de pulmón de células pequeñas. También está en estudio para el tratamiento de otros tipos de cáncer. Es posible que el durvalumab bloquee PD-L1 y ayude al sistema inmunitario a destruir células cancerosas. Es un tipo de anticuerpo monoclonal y de inhibidor de puntos de control inmunitario. También se llama Imfinzi.",tratamiento del cáncer de pulmón,durvalumab,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
160,Qué es el ipilimumab,"Medicamento que se une a la proteína CTLA-4 para ayudar a las células inmunitarias a destruir más células cancerosas, y que se usa para el tratamiento de muchos tipos diferentes de cáncer. Entre ellos, los cánceres que tienen ciertas mutaciones (cambios) en los genes que participan en la reparación del ADN. El ipilimumab se utiliza solo o con otros medicamentos para el tratamiento de ciertos tipos de cáncer colorrectal, cáncer de esófago, carcinoma hepatocelular (tipo de cáncer de hígado), mesotelioma pleural maligno, melanoma, cáncer de pulmón de células no pequeñas y carcinoma de células renales (tipo de cáncer de riñón). También está en estudio para el tratamiento de otros tipos de cáncer. Es posible que el ipilimumab bloquee CTLA-4 y ayude al sistema inmunitario a destruir células cancerosas. Es un tipo de anticuerpo monoclonal y de inhibidor de puntos de control inmunitario. También se llama MDX-010 y Yervoy.",tratamiento del cáncer de pulmón,ipilimumab,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
161,Qué es el nivolumab,"Medicamento que se une a la proteína PD-1 para ayudar a las células inmunitarias a destruir más células cancerosas, y que se usa para el tratamiento de muchos tipos diferentes de cáncer. Entre ellos, los cánceres que expresan la proteína PD-L1 o que tienen ciertas mutaciones (cambios) en los genes que participan en la reparación del ADN. El nivolumab se utiliza solo o con otros medicamentos para el tratamiento de ciertos tipos de linfoma de Hodgkin clásico, cáncer colorrectal, cáncer de esófago, cáncer de unión gastroesofágica, carcinoma de células escamosas de cabeza y cuello, carcinoma hepatocelular (tipo de cáncer de hígado), mesotelioma pleural maligno, melanoma, cáncer de pulmón de células no pequeñas, carcinoma de células renales (tipo de cáncer de riñón), cáncer de estómago y carcinoma urotelial (tipo de cáncer de vejiga o de aparato urinario). También está en estudio para el tratamiento de otros tipos de cáncer. Es posible que el nivolumab bloquee PD-1 y ayude al sistema inmunitario a destruir células cancerosas. Es un tipo de anticuerpo monoclonal y de inhibidor de puntos de control inmunitario. También se llama Opdivo.",tratamiento del cáncer de pulmón,nivolumab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/nivolumab|https://packageinserts.bms.com/pi/pi_opdivo.pdf
162,Qué es el pembrolizumab,"Medicamento que se une a la proteína PD-1 para ayudar a las células inmunitarias a destruir más células cancerosas, y que se usa para el tratamiento de muchos tipos diferentes de cáncer. Entre ellos, los cánceres que expresan la proteína PD-L1, que tienen ciertas mutaciones (cambios) en los genes que participan en la reparación del ADN o que tienen muchas mutaciones en el tumor. El pembrolizumab se utiliza solo o con otros medicamentos para el tratamiento de ciertos tipos de cáncer biliar (como el cáncer de vías biliares y de vesícula biliar), cáncer de mama, cáncer de cuello uterino, linfoma de Hodgkin clásico, cáncer colorrectal, cáncer de endometrio, cáncer de esófago, cáncer de unión gastroesofágica, carcinoma de células escamosas de cabeza y cuello, carcinoma hepatocelular (tipo de cáncer de hígado), mesotelioma pleural maligno, cáncer de pulmón de células no pequeñas, linfoma mediastínico primario de células B grandes, carcinoma de células renales (tipo de cáncer de riñón), cáncer de piel (carcinoma de células escamosas de piel, carcinoma de células de Merkel y melanoma), cáncer de estómago, carcinoma urotelial (tipo de cáncer de vejiga o aparato urinario) y otros tumores sólidos. También está en estudio para el tratamiento de otros tipos de cáncer. Es posible que el pembrolizumab bloquee PD-1 y ayude al sistema inmunitario a destruir células cancerosas. Es un tipo de anticuerpo monoclonal y de inhibidor de puntos de control inmunitario. También se llama Keytruda.",tratamiento del cáncer de pulmón,pembrolizumab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/pembrolizumab|https://www.keytruda.com
163,Qué es el tremelimumab,"Medicamento que se une a una proteína llamada CTLA-4 para ayudar a las células inmunitarias a destruir más células cancerosas, y que se usa para el tratamiento de diferentes tipos de cáncer. El tremelimumab se usa con durvalumab para el tratamiento de adultos con carcinoma hepatocelular (tipo de cáncer de hígado) que no se puede extirpar mediante cirugía. También se administra con durvalumab y quimioterapia de derivados de platino para tratar adultos con cáncer de pulmón de células no pequeñas que se diseminó a otras partes del cuerpo y que no presenta anomalías en los genes EGFR o ALK. Además, está en estudio para el tratamiento de otros tipos de cáncer. El tremelimumab en ocasiones bloquea a CTLA-4 y ayuda al sistema inmunitario a destruir células cancerosas. Es un tipo de anticuerpo monoclonal y un inhibidor de puntos de control inmunitario. También se llama Imjudo.",tratamiento del cáncer de pulmón,tremelimumab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/tremelimumab|https://www.azpicentral.com/imjudo
164,Qué tipos tipos de tratamiento existen para los pacientes de cáncer de pulmón de células pequeñas o microciticas,"Hay diferentes tipos de tratamientos disponibles para personas con cáncer de pulmón de células pequeñas. El equipo de atención del cáncer le ayudará a decidir el plan de tratamiento, que suele incluir varias opciones. Se tendrán en cuenta muchos factores, como el estadio del cáncer, el estado general de salud y las preferencias personales. El plan incluirá información sobre el tipo de cáncer, además de las opciones, objetivos, posibles efectos secundarios y la duración esperada del tratamiento. Se usan los siguientes tipos de tratamiento:Cirugía, Quimioterapia, Radioterapia, Inmunoterapia, Terapia láser, Colocación endoscópica de una endoprótesis",tratamiento del cáncer de pulmón,tratamiento|pequeñas,https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell.html|https://www.nccn.org/patients
165,Como es la cirugia para el cáncer de células pequeñas,"Es posible realizar una cirugía si el cáncer solo se encuentra en uno de los pulmones y en los ganglios linfáticos cercanos. Dado que este tipo de cáncer de pulmón se suele presentar en ambos pulmones, no es común que se use solo cirugía. Durante la cirugía, también se extraerán ganglios linfáticos para determinar si tienen cáncer. A veces, se puede usar cirugía para extraer una muestra del tejido del pulmón para determinar el tipo exacto de cáncer de pulmón del paciente. Después de que se extirpa todo el cáncer visible en el momento de la cirugía, es posible que algunos pacientes reciban quimioterapia o radioterapia para destruir cualquier célula cancerosa que quede. El tratamiento que se administra después de la cirugía para disminuir el riesgo de que el cáncer vuelva se llama terapia adyuvante.",tratamiento del cáncer de pulmón,cirugia,https://www.cancer.org/cancer/types/lung-cancer/treating/surgery.html|https://www.cancer.gov/types/lung/hp/small-cell-treatment-pdq
166,Qué son los ganglios linfáticos,"Estructura en forma de frijol que forma parte del sistema inmunitario. Los ganglios linfáticos filtran las sustancias que el líquido linfático transporta y contienen linfocitos (glóbulos blancos) que ayudan a combatir infecciones y enfermedades. En todo el cuerpo hay cientos de ganglios linfáticos conectados entre sí por los vasos linfáticos. Se encuentran grupos de ganglios linfáticos en el cuello, la axila, el tórax, el abdomen y la ingle. Por ejemplo, en la axila hay entre 20 y 40 ganglios linfáticos. También se llama linfonódulo, nódulo linfático y nódulo linfoide.",tratamiento del cáncer de pulmón,ganglios,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/lymph-node
167,Como es la quimioterapia para el cáncer de células pequeñas,"En la quimioterapia se usan medicamentos para interrumpir la formación de células cancerosas, ya sea mediante su destrucción o al impedir su multiplicación. La quimioterapia para el cáncer de pulmón de células pequeñas suele administrarse de manera sistémica, es decir, se inyecta en una vena o se toma por la boca. Cuando se administran de esta forma, los medicamentos ingresan al torrente sanguíneo y llegan a las células cancerosas de todo el cuerpo. Los medicamentos de quimioterapia que se usan para tratar el cáncer de pulmón de células pequeñas incluyen los siguientes:Carboplatino, Cisplatino, Ciclofosfamida,Doxorrubicina, Etopósido, Ifosfamida, Irinotecán, Vincristina. Es posible usar combinaciones de estos medicamentos y, en ocasiones, se administran otros medicamentos diferentes a los de esta lista. La quimioterapia también se puede combinar con otros tipos de tratamiento. Por ejemplo, se puede combinar con radioterapia o medicamentos de inmunoterapia.",tratamiento del cáncer de pulmón,quimioterapia,https://www.cancer.org/cancer/types/lung-cancer/treating/chemotherapy.html|https://www.cancer.gov/types/lung/patient/small-cell-treatment-pdq
168,Qué es la ciclofosfamida,"Medicamento que se usa para el tratamiento de muchos tipos de cáncer y de cierto tipo de enfermedad renal en niños. La ciclofosfamida daña el ADN de las células y es posible que destruya células cancerosas. Además, quizás disminuya la respuesta inmunitaria del cuerpo. La ciclofosfamida es un tipo de alquilante. También se llama CTX.",tratamiento del cáncer de pulmón,ciclofosfamida,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/cyclophosphamide|https://www.accessdata.fda.gov
169,Qué es la doxorrubicina,"Medicamento que se obtiene de la bacteria Streptomyces peucetius y se usa solo o con otros medicamentos para el tratamiento de muchos tipos de cáncer, como la leucemia, el linfoma, el neuroblastoma, el sarcoma, el tumor de Wilms y ciertos tipos de cáncer de pulmón, mama, estómago, ovario, tiroides y vejiga. También está en estudio para el tratamiento de otros tipos de cáncer. El clorhidrato de doxorrubicina daña el ADN de la célula y es posible que destruya células cancerosas. Además, bloquea cierta enzima necesaria para la multiplicación celular y la reparación del ADN. El clorhidrato de doxorrubicina es un antibiótico de tipo antraciclina y es un tipo de inhibidor de la topoisomerasa. La doxorrubicina es el principio activo del clorhidrato de doxorrubicina. También se llama Adriamycin, hidrocloruro de doxorrubicina e hidroxidaunorrubicina.",tratamiento del cáncer de pulmón,doxorrubicina,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/doxorubicin-hydrochloride|https://www.accessdata.fda.gov
170,Qué es la ifosfamida,Medicamento que se usa con otros medicamentos para el tratamiento de los tumores malignos de células germinativas de testículo que se trataron con otros tipos de medicamentos contra el cáncer. También está en estudio para el tratamiento de otros tipos de cáncer. La ifosfamida daña el ADN de las células y es posible que destruya células cancerosas. Es un tipo de alquilante y de antimetabolito. También se llama Ifex.,tratamiento del cáncer de pulmón,ifosfamida,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ifosfamide|https://www.accessdata.fda.gov
171,Qué es el irinotecán,"Medicamento que se usa solo o con otros medicamentos para el tratamiento del cáncer colorrectal que se diseminó a otras partes del cuerpo. Se utiliza en pacientes cuyo cáncer no se ha tratado, o cuyo cáncer empeoró o recidivó (volvió) después de recibir tratamientos contra el cáncer que incluyeron el fluorouracilo. También está en estudio para el tratamiento de otros tipos de cáncer. El clorhidrato de irinotecán impide la acción de cierta enzima necesaria para la multiplicación celular y la reparación del ADN, y es posible que destruya células cancerosas. Es un tipo de inhibidor de la topoisomerasa y un análogo de la camptotecina. El irinotecán es el principio activo del clorhidrato de irinotecán. También se llama Camptosar, CPT 11 e hidrocloruro de irinotecán.",tratamiento del cáncer de pulmón,irinotecan,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/irinotecan-hydrochloride|https://www.accessdata.fda.gov
172,Qué es la vincristina,"Medicamento que se usa para el tratamiento de la leucemia aguda, y a veces se usa con otros medicamentos para el tratamiento del linfoma de Hodgkin, el linfoma no Hodgkin, el rabdomiosarcoma, el neuroblastoma y el tumor de Wilms. También está en estudio para el tratamiento de otros tipos de cáncer. El sulfato de vincristina detiene el crecimiento y la multiplicación de células cancerosas y es posible que las destruya. Es un tipo de alcaloide de vinca. La vincristina es el ingrediente activo del sulfato de vincristina. La marca comercial Oncovin se retiró del mercado y ya no se consigue.",tratamiento del cáncer de pulmón,vincristina,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/vincristine-sulfate
173,Como es la radioterapia para el cáncer de células pequeñas,"La radioterapia es un tratamiento para el cáncer que usa rayos X de alta energía u otros tipos de radiación para destruir las células cancerosas o impedir que se multipliquen. La radioterapia externa es un tipo de radioterapia para la que se usa una máquina que envía la radiación desde el exterior del cuerpo hacia el área en la que se encuentra el cáncer. La radioterapia externa se usa para tratar el cáncer de pulmón de células pequeñas y es posible que también se utilice como terapia paliativa para aliviar los síntomas y mejorar la calidad de vida. Además, en ocasiones se administra radioterapia dirigida al encéfalo (órgano del que es parte el cerebro) para reducir el riesgo de que el cáncer se disemine a este órgano.",tratamiento del cáncer de pulmón,radioterapia,https://doi.org/10.1111/resp.13870
174,Como es la inmunoterapia para el cáncer de células pequeñas,"La inmunoterapia ayuda al sistema inmunitario a combatir el cáncer. Es posible que el equipo médico indique pruebas de biomarcadores para predecir la respuesta que usted tendrá ante ciertos medicamentos de inmunoterapia. Para obtener más información, consulte Pruebas de biomarcadores para el tratamiento de cáncer.  Los medicamentos de inmunoterapia que se usan para tratar el cáncer de pulmón de células pequeñas incluyen los siguientes:Atezolizumab, Durvalumab, Tarlatamab.",tratamiento del cáncer de pulmón,inmunoterapia,https://www.cancer.gov/types/lung/hp/small-cell-lung-treatment-pdq|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/immunotherapy.html
175,Qué es la tarlatamab,"Medicamento que se usa para el tratamiento de adultos con cáncer de pulmón de células pequeñas en estadio extendido que empeoró durante o después del tratamiento con quimioterapia con derivados del platino. También está en estudio para el tratamiento de otros tipos de cáncer. El tarlatamab se une a una proteína llamada CD3, que se encuentra en las células T (tipo de glóbulo blanco). También se une a otra proteína llamada DLL3, que se encuentra en algunos tipos de células cancerosas. Es posible que esto ayude al sistema inmunitario a destruir células cancerosas. El tarlatamab es un tipo de captador biespecífico de células T. También se llama Imdelltra.",tratamiento del cáncer de pulmón,tarlatamab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/tarlatamab|https://www.fda.gov/media/188901/download
176,Qué es la colocación endoscópica de una endoprótesis,Un endoscopio es un instrumento delgado en forma de tubo que se usa para observar los tejidos del interior del cuerpo. Un endoscopio tiene una luz y una lente para observar; se puede usar para colocar una endoprótesis (stent) en una estructura del cuerpo para mantener la estructura abierta. La endoprótesis se usa para abrir una vía respiratoria que está bloqueada por tejido anormal.,tratamiento del cáncer de pulmón,endoscopica,https://www.cancer.gov/research/participate/clinical-trials-search/v?id=NCI-2025-00212
177,Como es el tratamiento del cáncer de pulmón de células pequeñas en estadio limitado,"El tratamiento del cáncer de pulmón de células pequeñas en estadio limitado incluye las siguientes opciones:Quimioterapia combinada y radioterapia dirigida al tórax, y después radioterapia dirigida al encéfalo en pacientes con respuestas completas, Quimioterapia combinada sola para pacientes que no pueden recibir radioterapia, Cirugía seguida de quimioterapia, Cirugía seguida de quimioterapia y radioterapia, Radioterapia dirigida al encéfalo para los pacientes con respuesta completa con el fin de prevenir la diseminación del cáncer al encéfalo (órgano del que es parte el cerebro).",tratamiento del cáncer de pulmón,tratamiento|limitado,https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell.html|https://www.nccn.org/guidelines/guidelines-detail?category=1&id=1462
178,Como es el tratamiento del cáncer de pulmón de células pequeñas en estadio extendido,"El tratamiento del cáncer de pulmón de células pequeñas en estadio extendido incluye las siguientes opciones:Inmunoterapia (atezolizumab o durvalumab) y quimioterapia combinada, Quimioterapia combinada, Radioterapia dirigida al encéfalo, la columna vertebral, los huesos u otras partes del cuerpo donde se diseminó el cáncer, como terapia paliativa para aliviar los síntomas y mejorar la calidad de vida, Radioterapia dirigida al tórax si el cáncer respondió a la quimioterapia, Radioterapia dirigida al encéfalo después de una respuesta completa a la quimioterapia para prevenir la diseminación del cáncer al encéfalo (órgano del que es parte el cerebro).",tratamiento del cáncer de pulmón,extendido,https://www.cancer.gov/types/lung/patient/small-cell-lung-treatment-pdq|https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell/by-stage.html
179,Como es el tratamiento del cáncer de pulmón de células pequeñas recidivante,"El tratamiento del cáncer de pulmón de células pequeñas recidivante incluye las siguientes opciones:Quimioterapia, Inmunoterapia, Radioterapia como terapia paliativa para aliviar los síntomas y mejorar la calidad de vida, Terapia láser, colocación de endoprótesis para mantener las vías respiratorias abiertas o radioterapia interna como terapia paliativa para aliviar los síntomas y mejorar la calidad de vida.",tratamiento del cáncer de pulmón,redicivante,https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell/by-stage.html|https://www.cancer.gov/types/lung/hp/small-cell-lung-treatment-pdq
180,Cuál es la diferencia en la incidencia de cáncer de pulmón entre hombres y mujeres,"El cáncer de pulmón ha sido tradicionalmente más común en hombres, pero la incidencia en mujeres ha aumentado significativamente en las últimas décadas, especialmente en países desarrollados. Esto se atribuye en parte al aumento del tabaquismo en mujeres. Además, hay evidencia de diferencias biológicas en cómo se desarrolla el cáncer entre géneros.",informacion del cáncer del pulmón,genero|incidencia,https://www.who.int/news-room/fact-sheets/detail/lung-cancer|https://doi.org/10.3322/caac.21763
181,Existen diferencias en los síntomas del cáncer de pulmón según la edad del paciente,"Los síntomas del cáncer de pulmón son generalmente similares en todas las edades, pero los pacientes mayores pueden presentar síntomas más inespecíficos como fatiga extrema o confusión. En pacientes jóvenes (menores de 40 años), el cáncer de pulmón puede ser más agresivo y a menudo se diagnostica en etapas más avanzadas.",sintomas del cáncer del pulmón,edad|sintomas,https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html|https://doi.org/10.1200/JCO.2006.06.8015
182,Qué impacto tiene la diabetes en el tratamiento del cáncer de pulmón,"Los pacientes con diabetes pueden requerir ajustes en su tratamiento oncológico, ya que algunos medicamentos pueden afectar los niveles de glucosa en sangre. Además, la diabetes mal controlada puede afectar la cicatrización después de cirugías y aumentar el riesgo de infecciones durante la quimioterapia.",tratamiento del cáncer de pulmón,diabetes,https://doi.org/10.3322/caac.20078|https://doi.org/10.1007/s00125-010-1796-7
183,Cómo afecta la EPOC al pronóstico del cáncer de pulmón,"Los pacientes con EPOC (Enfermedad Pulmonar Obstructiva Crónica) y cáncer de pulmón suelen tener un pronóstico más reservado, ya que la función pulmonar reducida puede limitar las opciones de tratamiento quirúrgico y aumentar los riesgos de complicaciones respiratorias postoperatorias.",tratamiento del cáncer de pulmón,epoc|pronostico,https://doi.org/10.1378/chest.129.5.1305|https://doi.org/10.1378/chest.122.2.600
184,Qué ejercicios son recomendables después de una lobectomía,"Después de una lobectomía, se recomienda comenzar con ejercicios de respiración profunda y tos controlada para expandir los pulmones. Luego, se pueden incorporar caminatas cortas y progresar gradualmente a actividades aeróbicas suaves como natación o bicicleta estática, siempre bajo supervisión médica.",tratamiento del cáncer de pulmón,ejercicios|lobectomia,https://doi.org/10.1016/j.lungcan.2007.02.019|https://doi.org/10.1164/rccm.201309-1634ST
185,Cómo manejar la ansiedad después del diagnóstico de cáncer de pulmón,"El diagnóstico de cáncer de pulmón puede generar ansiedad significativa. Se recomienda: buscar apoyo psicológico especializado, practicar técnicas de relajación como meditación o respiración consciente, unirse a grupos de apoyo, mantener rutinas diarias estructuradas y comunicar abiertamente los sentimientos con el equipo médico y seres queridos.",informacion del cáncer del pulmón,apoyo|ansiedad,https://doi.org/10.1200/jco.2011.40.8922|https://doi.org/10.1186/1477-7525-1-8https://doi.org/10.1200/JCO.2011.40.8922
186,Qué avances recientes hay en la investigación del cáncer de pulmón,"Entre los avances recientes destacan: nuevas terapias dirigidas para mutaciones específicas, inmunoterapias de segunda generación, técnicas de radioterapia más precisas, y el desarrollo de biomarcadores líquidos para detección temprana. También hay ensayos prometedores con vacunas terapéuticas y terapias combinadas.",informacion del cáncer del pulmón,investigacion|avances,https://doi.org/10.1038/nature25183|https://doi.org/10.1158/1078-0432.CCR-18-1538
187,Cómo afecta el cáncer de pulmón a la vida sexual,"El cáncer de pulmón y sus tratamientos pueden afectar la libido y la función sexual debido a fatiga, cambios hormonales, efectos secundarios de medicamentos o impacto psicológico. Es importante discutir estas preocupaciones con el equipo médico, ya que existen estrategias y tratamientos que pueden ayudar a manejar estos efectos.",tratamiento del cáncer de pulmón,vida|sexual,https://doi.org/10.1002/pon.1947|https://doi.org/10.1093/annonc/mdr133
188,Qué cuidados especiales necesita un paciente con cáncer de pulmón y osteoporosis,"Los pacientes con osteoporosis requieren evaluación cuidadosa antes de tratamientos que puedan aumentar el riesgo de fracturas (como corticosteroides). Pueden necesitar suplementos de calcio y vitamina D, medicamentos para fortalecer huesos, y adaptaciones en fisioterapia para minimizar riesgos de caídas.",tratamiento del cáncer de pulmón,osteoporosis|cuidados,"https://doi.org/10.1093/annonc/mdu103|https://doi.org/10.1007/s00198-013-2539-0
"
189,Cómo preparar la casa para un paciente en tratamiento de cáncer de pulmón,"Se recomienda: eliminar alfombras para prevenir caídas, instalar barras de apoyo en baños, mantener el ambiente libre de humo y bien ventilado, tener un humidificador si hay sequedad respiratoria, organizar los medicamentos con recordatorios, y preparar comidas nutritivas fáciles de digerir.",tratamiento del cáncer de pulmón,cuidados|hogar,https://www.cancer.org/cancer/caregivers.html|https://www.cancer.gov/publications/patient-education/caring-for-the-caregiver
190,Qué preguntas hacer al oncólogo en la primera consulta,Preguntas clave incluyen: ¿Qué tipo y estadio de cáncer tengo? ¿Qué opciones de tratamiento hay? ¿Cuáles son los objetivos de cada tratamiento? ¿Qué efectos secundarios puedo esperar? ¿Hay ensayos clínicos disponibles? ¿Con qué frecuencia necesitaré pruebas de seguimiento? ¿Qué cambios en estilo de vida debo hacer?,informacion del cáncer del pulmón,comunicacion|consulta,https://www.cancer.org/cancer/managing-cancer/making-treatment-decisions/questions-to-ask-your-doctor.html|https://www.cancer.gov/about-cancer/coping/questions
191,Cómo afecta el cáncer de pulmón a la nutrición,"El cáncer de pulmón puede causar pérdida de apetito, cambios en el gusto, dificultad para tragar o náuseas. Se recomienda: comidas pequeñas y frecuentes, alimentos ricos en proteínas y calorías, suplementos nutricionales si es necesario, y consultar con un nutricionista especializado en oncología.",tratamiento del cáncer de pulmón,nutricion|alimentacion,https://doi.org/10.1016/j.clnu.2016.07.015|https://doi.org/10.1111/j.1365-277X.2012.01264.x
